Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
GO Biological Processes,19,GO:0051960,regulation of nervous system development,19_GO:0032502 developmental process,-4.6,4,5.5,30244,469,207,13,6.3,1.7,406|1605|2335|4988|5530|5728|6259|6497|6833|7040|23376|23654|89780,BMAL1|DAG1|FN1|OPRM1|PPP3CA|PTEN|RYK|SKI|ABCC8|TGFB1|UFL1|PLXNB2|WNT3A,-3,cluster_1_x_name
GO Biological Processes,19,GO:0009267,cellular response to starvation,19_GO:0050896 response to stimulus,-4.6,6.9,6.4,30244,170,207,8,3.9,1.3,596|1026|2309|5287|5587|6720|9213|23411,BCL2|CDKN1A|FOXO3|PIK3C2B|PRKD1|SREBF1|XPR1|SIRT1,-3,cluster_1_x_name
Reactome Gene Sets,6,R-HSA-5674400,Constitutive Signaling by AKT1 E17K in Cancer,,-4.6,23,9.3,30244,25,207,4,1.9,0.96,842|1026|2309|79109,CASP9|CDKN1A|FOXO3|MAPKAP1,-3,cluster_1_x_name
Reactome Gene Sets,6,R-HSA-1280218,Adaptive Immune System,,-4.6,3.2,5.2,30244,769,207,17,8.2,1.9,164|1445|1785|2534|4773|4792|5529|5530|5728|5970|7525|8503|8945|23327|23376|56992|79109,AP1G1|CSK|DNM2|FYN|NFATC2|NFKBIA|PPP2R5E|PPP3CA|PTEN|RELA|YES1|PIK3R3|BTRC|NEDD4L|UFL1|KIF15|MAPKAP1,-3,cluster_1_x_name
Reactome Gene Sets,6,R-HSA-6802957,Oncogenic MAPK signaling,,-4.6,10,7.2,30244,84,207,6,2.9,1.2,1445|2335|7094|22808|22906|80824,CSK|FN1|TLN1|MRAS|TRAK1|DUSP16,-3,cluster_1_x_name
WikiPathways,27,WP4539,Synaptic signaling pathways associated with autism spectrum disorder,,-4.6,14,7.9,30244,51,207,5,2.4,1.1,2904|5571|5728|8503|51422,GRIN2B|PRKAG1|PTEN|PIK3R3|PRKAG2,-3,cluster_1_x_name
WikiPathways,27,WP3611,Photodynamic therapy-induced AP-1 survival signaling,,-4.6,14,7.9,30244,51,207,5,2.4,1.1,595|596|898|1026|5156,CCND1|BCL2|CCNE1|CDKN1A|PDGFRA,-3,cluster_1_x_name
GO Biological Processes,19,GO:0038093,Fc receptor signaling pathway,19_GO:0002376 immune system process,-4.6,14,7.9,30244,51,207,5,2.4,1.1,2268|2534|5581|5747|7525,FGR|FYN|PRKCE|PTK2|YES1,-3,cluster_1_x_name
GeDiPNet,37,GDP06395,Salivary gland neoplasm,,-4.6,14,7.9,30244,51,207,5,2.4,1.1,358|595|4292|5587|57419,AQP1|CCND1|MLH1|PRKD1|SLC24A3,-3,cluster_1_x_name
Reactome Gene Sets,6,R-HSA-2173793,Transcriptional activity of SMAD2/SMAD3:SMAD4 heterotrimer,,-4.6,14,7.9,30244,51,207,5,2.4,1.1,905|4088|6497|9612|23327,CCNT2|SMAD3|SKI|NCOR2|NEDD4L,-3,cluster_1_x_name
GO Biological Processes,19,GO:0031397,negative regulation of protein ubiquitination,19_GO:0048519 negative regulation of biological process,-4.6,10,7.1,30244,85,207,6,2.9,1.2,857|2534|5581|6201|23376|59343,CAV1|FYN|PRKCE|RPS7|UFL1|SENP2,-2.9,cluster_1_x_name
GO Biological Processes,19,GO:0045471,response to ethanol,19_GO:0050896 response to stimulus,-4.6,8.1,6.6,30244,126,207,7,3.4,1.3,595|2534|2904|4988|5581|6720|94241,CCND1|FYN|GRIN2B|OPRM1|PRKCE|SREBF1|TP53INP1,-2.9,cluster_1_x_name
GO Biological Processes,19,GO:0007548,sex differentiation,19_GO:0022414 reproductive process,-4.6,5.2,5.8,30244,283,207,10,4.8,1.5,595|596|658|2099|3643|4846|5156|5241|8204|23411,CCND1|BCL2|BMPR1B|ESR1|INSR|NOS3|PDGFRA|PGR|NRIP1|SIRT1,-2.9,cluster_1_x_name
WikiPathways,27,WP5316,Primary ovarian insufficiency,,-4.5,6.7,6.3,30244,174,207,8,3.9,1.3,658|857|2099|2309|2547|5728|7049|23411,BMPR1B|CAV1|ESR1|FOXO3|XRCC6|PTEN|TGFBR3|SIRT1,-2.9,cluster_1_x_name
Canonical Pathways,11,M32,PID HDAC CLASSIII PATHWAY,,-4.5,22,9.1,30244,26,207,4,1.9,0.96,1026|2309|2547|23411,CDKN1A|FOXO3|XRCC6|SIRT1,-2.9,cluster_1_x_name
Canonical Pathways,11,M162,PID RXR VDR PATHWAY,,-4.5,22,9.1,30244,26,207,4,1.9,0.96,596|6720|7040|9612,BCL2|SREBF1|TGFB1|NCOR2,-2.9,cluster_1_x_name
Reactome Gene Sets,6,R-HSA-2173788,Downregulation of TGF-beta receptor signaling,,-4.5,22,9.1,30244,26,207,4,1.9,0.96,4088|7040|7514|23327,SMAD3|TGFB1|XPO1|NEDD4L,-2.9,cluster_1_x_name
GO Biological Processes,19,GO:0002026,regulation of the force of heart contraction,19_GO:0032501 multicellular organismal process,-4.5,22,9.1,30244,26,207,4,1.9,0.96,857|4624|4846|6546,CAV1|MYH6|NOS3|SLC8A1,-2.9,cluster_1_x_name
GO Biological Processes,19,GO:0035994,response to muscle stretch,19_GO:0050896 response to stimulus,-4.5,22,9.1,30244,26,207,4,1.9,0.96,4792|5747|5970|6546,NFKBIA|PTK2|RELA|SLC8A1,-2.9,cluster_1_x_name
GeDiPNet,37,GDP06451,Scoliosis,,-4.5,3.2,5.1,30244,778,207,17,8.2,1.9,59|658|857|1855|2260|2335|2904|4088|5587|5728|6237|6497|6857|7040|8289|22808|23327,ACTA2|BMPR1B|CAV1|DVL1|FGFR1|FN1|GRIN2B|SMAD3|PRKD1|PTEN|RRAS|SKI|SYT1|TGFB1|ARID1A|MRAS|NEDD4L,-2.9,cluster_1_x_name
GO Biological Processes,19,GO:0045778,positive regulation of ossification,19_GO:0048518 positive regulation of biological process,-4.5,14,7.8,30244,52,207,5,2.4,1.1,154|490|658|4088|6546,ADRB2|ATP2B1|BMPR1B|SMAD3|SLC8A1,-2.9,cluster_1_x_name
GO Biological Processes,19,GO:1902895,positive regulation of miRNA transcription,19_GO:0048518 positive regulation of biological process,-4.5,14,7.8,30244,52,207,5,2.4,1.1,2309|4088|5970|6720|7040,FOXO3|SMAD3|RELA|SREBF1|TGFB1,-2.9,cluster_1_x_name
GO Biological Processes,19,GO:0051099,positive regulation of binding,19_GO:0065007 biological regulation,-4.5,6.7,6.3,30244,175,207,8,3.9,1.3,348|857|1488|4035|6497|6934|7040|89780,APOE|CAV1|CTBP2|LRP1|SKI|TCF7L2|TGFB1|WNT3A,-2.9,cluster_1_x_name
KEGG Pathway,24,hsa04380,Osteoclast differentiation,,-4.5,8,6.6,30244,128,207,7,3.4,1.3,2534|4773|4792|5530|5970|7040|8503,FYN|NFATC2|NFKBIA|PPP3CA|RELA|TGFB1|PIK3R3,-2.9,cluster_1_x_name
GO Biological Processes,19,GO:0030003,intracellular monoatomic cation homeostasis,19_GO:0042592 homeostatic process,-4.5,4.3,5.5,30244,412,207,12,5.8,1.6,348|490|596|857|6546|6558|7369|57130|57282|57419|64116|79901,APOE|ATP2B1|BCL2|CAV1|SLC8A1|SLC12A2|UMOD|ATP13A1|SLC4A10|SLC24A3|SLC39A8|CYBRD1,-2.9,cluster_1_x_name
KEGG Pathway,24,hsa04926,Relaxin signaling pathway,,-4.5,7.9,6.5,30244,129,207,7,3.4,1.3,59|4792|4846|5970|7040|8503|23236,ACTA2|NFKBIA|NOS3|RELA|TGFB1|PIK3R3|PLCB1,-2.9,cluster_1_x_name
KEGG Pathway,24,hsa04961,Endocrine and other factor-regulated calcium reabsorption,,-4.5,14,7.7,30244,53,207,5,2.4,1.1,490|1785|2099|6546|23236,ATP2B1|DNM2|ESR1|SLC8A1|PLCB1,-2.9,cluster_1_x_name
GO Biological Processes,19,GO:0048146,positive regulation of fibroblast proliferation,19_GO:0048518 positive regulation of biological process,-4.5,14,7.7,30244,53,207,5,2.4,1.1,358|1026|2099|2335|5156,AQP1|CDKN1A|ESR1|FN1|PDGFRA,-2.9,cluster_1_x_name
Reactome Gene Sets,6,R-HSA-1660499,Synthesis of PIPs at the plasma membrane,,-4.5,14,7.7,30244,53,207,5,2.4,1.1,5287|5728|5868|8395|8503,PIK3C2B|PTEN|RAB5A|PIP5K1B|PIK3R3,-2.9,cluster_1_x_name
Canonical Pathways,11,M113,PID NFAT 3PATHWAY,,-4.5,14,7.7,30244,53,207,5,2.4,1.1,596|4773|5530|5581|7514,BCL2|NFATC2|PPP3CA|PRKCE|XPO1,-2.9,cluster_1_x_name
GO Biological Processes,19,GO:0008361,regulation of cell size,19_GO:0065007 biological regulation,-4.5,6.6,6.2,30244,177,207,8,3.9,1.3,348|358|1785|2335|5728|6259|6558|89780,APOE|AQP1|DNM2|FN1|PTEN|RYK|SLC12A2|WNT3A,-2.9,cluster_1_x_name
GO Biological Processes,19,GO:0006813,potassium ion transport,19_GO:0051179 localization,-4.5,6.6,6.2,30244,177,207,8,3.9,1.3,358|3767|4846|6558|6833|9033|10060|57419,AQP1|KCNJ11|NOS3|SLC12A2|ABCC8|PKD2L1|ABCC9|SLC24A3,-2.9,cluster_1_x_name
GO Biological Processes,19,GO:1903305,regulation of regulated secretory pathway,19_GO:0051179 localization,-4.5,7.9,6.5,30244,130,207,7,3.4,1.3,164|1855|2268|5217|5868|6857|134957,AP1G1|DVL1|FGR|PFN2|RAB5A|SYT1|STXBP5,-2.9,cluster_1_x_name
GO Biological Processes,19,GO:0050864,regulation of B cell activation,19_GO:0002376 immune system process,-4.5,7.9,6.5,30244,130,207,7,3.4,1.3,596|1026|4292|4773|7040|8660|89780,BCL2|CDKN1A|MLH1|NFATC2|TGFB1|IRS2|WNT3A,-2.9,cluster_1_x_name
Reactome Gene Sets,6,R-HSA-162906,HIV Infection,,-4.5,5.7,5.9,30244,231,207,9,4.3,1.4,164|905|2534|2547|3159|7514|8178|8945|23327,AP1G1|CCNT2|FYN|XRCC6|HMGA1|XPO1|ELL|BTRC|NEDD4L,-2.9,cluster_1_x_name
GO Biological Processes,19,GO:0019058,viral life cycle,19_GO:0016032 viral process,-4.5,6.6,6.2,30244,178,207,8,3.9,1.3,348|857|1488|1605|2060|3643|6541|9213,APOE|CAV1|CTBP2|DAG1|EPS15|INSR|SLC7A1|XPR1,-2.9,cluster_1_x_name
GO Biological Processes,19,GO:0055080,monoatomic cation homeostasis,19_GO:0042592 homeostatic process,-4.5,3.9,5.4,30244,486,207,13,6.3,1.7,348|490|596|857|887|6546|6558|7369|57130|57282|57419|64116|79901,APOE|ATP2B1|BCL2|CAV1|CCKBR|SLC8A1|SLC12A2|UMOD|ATP13A1|SLC4A10|SLC24A3|SLC39A8|CYBRD1,-2.9,cluster_1_x_name
Reactome Gene Sets,6,R-HSA-201681,TCF dependent signaling in response to WNT,,-4.5,5.7,5.9,30244,232,207,9,4.3,1.4,857|1855|5529|6259|6934|7514|8395|8945|89780,CAV1|DVL1|PPP2R5E|RYK|TCF7L2|XPO1|PIP5K1B|BTRC|WNT3A,-2.9,cluster_1_x_name
GO Biological Processes,19,GO:0010594,regulation of endothelial cell migration,19_GO:0040011 locomotion,-4.5,5.7,5.9,30244,232,207,9,4.3,1.4,348|2260|3728|4846|5587|5747|6237|7040|23411,APOE|FGFR1|JUP|NOS3|PRKD1|PTK2|RRAS|TGFB1|SIRT1,-2.9,cluster_1_x_name
GO Biological Processes,19,GO:0007409,axonogenesis,19_GO:0032502 developmental process,-4.5,4.6,5.6,30244,352,207,11,5.3,1.6,596|658|1605|1855|2534|5728|5747|6259|8633|23654|89780,BCL2|BMPR1B|DAG1|DVL1|FYN|PTEN|PTK2|RYK|UNC5C|PLXNB2|WNT3A,-2.9,cluster_1_x_name
Reactome Gene Sets,6,R-HSA-74751,Insulin receptor signalling cascade,,-4.5,14,7.6,30244,54,207,5,2.4,1.1,2260|3643|8660|10818|152831,FGFR1|INSR|IRS2|FRS2|KLB,-2.9,cluster_1_x_name
WikiPathways,27,WP585,Interferon type I signaling pathways,,-4.5,14,7.6,30244,54,207,5,2.4,1.1,1398|2534|8554|8660|79109,CRK|FYN|PIAS1|IRS2|MAPKAP1,-2.9,cluster_1_x_name
GO Biological Processes,19,GO:0010874,regulation of cholesterol efflux,19_GO:0051179 localization,-4.5,14,7.6,30244,54,207,5,2.4,1.1,348|857|4035|4792|23411,APOE|CAV1|LRP1|NFKBIA|SIRT1,-2.9,cluster_1_x_name
GO Biological Processes,19,GO:0070169,positive regulation of biomineral tissue development,19_GO:0032502 developmental process,-4.5,14,7.6,30244,54,207,5,2.4,1.1,154|490|658|4088|6546,ADRB2|ATP2B1|BMPR1B|SMAD3|SLC8A1,-2.9,cluster_1_x_name
Canonical Pathways,11,M286,PID TGFBR PATHWAY,,-4.5,14,7.6,30244,54,207,5,2.4,1.1,857|4088|7040|7049|23327,CAV1|SMAD3|TGFB1|TGFBR3|NEDD4L,-2.9,cluster_1_x_name
GO Biological Processes,19,GO:0071478,cellular response to radiation,19_GO:0050896 response to stimulus,-4.5,6.5,6.2,30244,179,207,8,3.9,1.3,358|842|1026|1785|2547|23411|54617|94241,AQP1|CASP9|CDKN1A|DNM2|XRCC6|SIRT1|INO80|TP53INP1,-2.9,cluster_1_x_name
KEGG Pathway,24,hsa05235,PD-L1 expression and PD-1 checkpoint pathway in cancer,,-4.5,9.8,6.9,30244,89,207,6,2.9,1.2,4773|4792|5530|5728|5970|8503,NFATC2|NFKBIA|PPP3CA|PTEN|RELA|PIK3R3,-2.9,cluster_1_x_name
GO Biological Processes,19,GO:0032413,negative regulation of ion transmembrane transporter activity,19_GO:0051179 localization,-4.5,9.8,6.9,30244,89,207,6,2.9,1.2,857|2669|5530|5581|23327|27347,CAV1|GEM|PPP3CA|PRKCE|NEDD4L|STK39,-2.9,cluster_1_x_name
Canonical Pathways,11,M5493,WNT SIGNALING,,-4.5,9.8,6.9,30244,89,207,6,2.9,1.2,595|1488|1855|8945|59343|89780,CCND1|CTBP2|DVL1|BTRC|SENP2|WNT3A,-2.9,cluster_1_x_name
Reactome Gene Sets,6,R-HSA-199991,Membrane Trafficking,,-4.5,3.5,5.2,30244,634,207,15,7.2,1.8,154|164|1129|1785|2060|2697|5571|5868|6857|11267|23637|29763|51422|56992|84251,ADRB2|AP1G1|CHRM2|DNM2|EPS15|GJA1|PRKAG1|RAB5A|SYT1|SNF8|RABGAP1|PACSIN3|PRKAG2|KIF15|SGIP1,-2.9,cluster_1_x_name
GO Biological Processes,19,GO:0002429,immune response-activating cell surface receptor signaling pathway,19_GO:0002376 immune system process,-4.5,5.6,5.9,30244,233,207,9,4.3,1.4,596|1445|2268|2534|4773|4792|5581|5747|7525,BCL2|CSK|FGR|FYN|NFATC2|NFKBIA|PRKCE|PTK2|YES1,-2.8,cluster_1_x_name
GO Biological Processes,19,GO:0051048,negative regulation of secretion,19_GO:0051179 localization,-4.4,6.5,6.1,30244,180,207,8,3.9,1.3,348|2697|3767|4988|5530|6720|6833|27347,APOE|GJA1|KCNJ11|OPRM1|PPP3CA|SREBF1|ABCC8|STK39,-2.8,cluster_1_x_name
GeDiPNet,37,GDP02471,Esophagus Neoplasm,,-4.4,5.6,5.9,30244,234,207,9,4.3,1.4,595|596|1026|1129|4507|4846|5156|6833|84871,CCND1|BCL2|CDKN1A|CHRM2|MTAP|NOS3|PDGFRA|ABCC8|AGBL4,-2.8,cluster_1_x_name
GO Biological Processes,19,GO:0033622,integrin activation,19_GO:0009987 cellular process,-4.4,44,11,30244,10,207,3,1.4,0.83,2335|7094|10979,FN1|TLN1|FERMT2,-2.8,cluster_1_x_name
GO Biological Processes,19,GO:0034644,cellular response to UV,19_GO:0050896 response to stimulus,-4.4,9.7,6.9,30244,90,207,6,2.9,1.2,358|842|1026|23411|54617|94241,AQP1|CASP9|CDKN1A|SIRT1|INO80|TP53INP1,-2.8,cluster_1_x_name
GO Biological Processes,19,GO:1901990,regulation of mitotic cell cycle phase transition,19_GO:0050789 regulation of biological process,-4.4,4.5,5.5,30244,355,207,11,5.3,1.6,595|596|1026|1031|1843|5728|8289|10783|23236|54617|59343,CCND1|BCL2|CDKN1A|CDKN2C|DUSP1|PTEN|ARID1A|NEK6|PLCB1|INO80|SENP2,-2.8,cluster_1_x_name
WikiPathways,27,WP2795,Cardiac hypertrophic response,,-4.4,13,7.6,30244,55,207,5,2.4,1.1,4205|4773|5530|5587|7040,MEF2A|NFATC2|PPP3CA|PRKD1|TGFB1,-2.8,cluster_1_x_name
GO Biological Processes,19,GO:0034764,positive regulation of transmembrane transport,19_GO:0051179 localization,-4.4,5.6,5.9,30244,235,207,9,4.3,1.4,154|857|1785|3643|4205|5530|6833|8660|27347,ADRB2|CAV1|DNM2|INSR|MEF2A|PPP3CA|ABCC8|IRS2|STK39,-2.8,cluster_1_x_name
WikiPathways,27,WP2643,Nanoparticle-mediated activation of receptor signaling,,-4.4,21,8.7,30244,28,207,4,1.9,0.96,2335|3672|5747|7094,FN1|ITGA1|PTK2|TLN1,-2.8,cluster_1_x_name
GeDiPNet,37,GDP02837,Glomerular Hyalinosis,,-4.4,21,8.7,30244,28,207,4,1.9,0.96,59|2335|4643|7040,ACTA2|FN1|MYO1E|TGFB1,-2.8,cluster_1_x_name
Canonical Pathways,11,M252,PID IL8 CXCR1 PATHWAY,,-4.4,21,8.7,30244,28,207,4,1.9,0.96,2268|5581|5868|23236,FGR|PRKCE|RAB5A|PLCB1,-2.8,cluster_1_x_name
GO Biological Processes,19,GO:0032941,secretion by tissue,19_GO:0051179 localization,-4.4,21,8.7,30244,28,207,4,1.9,0.96,358|4883|5581|55107,AQP1|NPR3|PRKCE|ANO1,-2.8,cluster_1_x_name
GO Biological Processes,19,GO:0002237,response to molecule of bacterial origin,19_GO:0044419 biological process involved in interspecies interaction between organisms,-4.4,4.5,5.5,30244,357,207,11,5.3,1.6,842|1373|3663|4792|4846|4988|5581|5970|6833|7040|7369,CASP9|CPS1|IRF5|NFKBIA|NOS3|OPRM1|PRKCE|RELA|ABCC8|TGFB1|UMOD,-2.8,cluster_1_x_name
KEGG Pathway,24,hsa04014,Ras signaling pathway,,-4.4,5.6,5.9,30244,236,207,9,4.3,1.4,2260|2904|3643|5156|5868|5970|6237|8503|22808,FGFR1|GRIN2B|INSR|PDGFRA|RAB5A|RELA|RRAS|PIK3R3|MRAS,-2.8,cluster_1_x_name
GO Biological Processes,19,GO:0035725,sodium ion transmembrane transport,19_GO:0051179 localization,-4.4,7.6,6.4,30244,134,207,7,3.4,1.3,6523|6546|6558|9033|27347|57282|57419,SLC5A1|SLC8A1|SLC12A2|PKD2L1|STK39|SLC4A10|SLC24A3,-2.8,cluster_1_x_name
Reactome Gene Sets,6,R-HSA-166520,Signaling by NTRKs,,-4.4,7.6,6.4,30244,134,207,7,3.4,1.3,1398|1785|2534|2904|4205|8660|10818,CRK|DNM2|FYN|GRIN2B|MEF2A|IRS2|FRS2,-2.8,cluster_1_x_name
GO Biological Processes,19,GO:0051224,negative regulation of protein transport,19_GO:0051179 localization,-4.4,7.6,6.4,30244,134,207,7,3.4,1.3,348|1445|3767|4988|5530|6720|6833,APOE|CSK|KCNJ11|OPRM1|PPP3CA|SREBF1|ABCC8,-2.8,cluster_1_x_name
GO Biological Processes,19,GO:0043409,negative regulation of MAPK cascade,19_GO:0048519 negative regulation of biological process,-4.4,6.4,6.1,30244,183,207,8,3.9,1.3,348|857|1445|1605|1843|1844|5728|80824,APOE|CAV1|CSK|DAG1|DUSP1|DUSP2|PTEN|DUSP16,-2.8,cluster_1_x_name
GO Biological Processes,19,GO:0006814,sodium ion transport,19_GO:0051179 localization,-4.4,6.4,6.1,30244,183,207,8,3.9,1.3,6523|6546|6558|7369|9033|27347|57282|57419,SLC5A1|SLC8A1|SLC12A2|UMOD|PKD2L1|STK39|SLC4A10|SLC24A3,-2.8,cluster_1_x_name
Canonical Pathways,11,M99,PID TXA2PATHWAY,,-4.4,13,7.5,30244,56,207,5,2.4,1.1,2268|2534|4846|5581|7525,FGR|FYN|NOS3|PRKCE|YES1,-2.8,cluster_1_x_name
WikiPathways,27,WP3646,Hepatitis C and hepatocellular carcinoma,,-4.4,13,7.5,30244,56,207,5,2.4,1.1,595|842|1026|4088|7040,CCND1|CASP9|CDKN1A|SMAD3|TGFB1,-2.8,cluster_1_x_name
GO Biological Processes,19,GO:0001954,positive regulation of cell-matrix adhesion,19_GO:0048518 positive regulation of biological process,-4.4,13,7.5,30244,56,207,5,2.4,1.1,1605|3728|4088|6237|10979,DAG1|JUP|SMAD3|RRAS|FERMT2,-2.8,cluster_1_x_name
GO Biological Processes,19,GO:0032535,regulation of cellular component size,19_GO:0065007 biological regulation,-4.4,4.5,5.5,30244,360,207,11,5.3,1.6,348|358|1785|2335|5217|5581|5728|5868|6259|6558|89780,APOE|AQP1|DNM2|FN1|PFN2|PRKCE|PTEN|RAB5A|RYK|SLC12A2|WNT3A,-2.8,cluster_1_x_name
GeDiPNet,37,GDP05616,Patent ductus arteriosus,,-4.4,5.5,5.8,30244,239,207,9,4.3,1.4,59|2697|4088|5728|6497|8289|10060|23327|79068,ACTA2|GJA1|SMAD3|PTEN|SKI|ARID1A|ABCC9|NEDD4L|FTO,-2.8,cluster_1_x_name
GO Biological Processes,19,GO:0099537,trans-synaptic signaling,19_GO:0050789 regulation of biological process,-4.4,4.1,5.4,30244,428,207,12,5.8,1.6,348|1129|1488|1605|1855|2904|4988|5530|5581|5728|6857|8572,APOE|CHRM2|CTBP2|DAG1|DVL1|GRIN2B|OPRM1|PPP3CA|PRKCE|PTEN|SYT1|PDLIM4,-2.8,cluster_1_x_name
GO Biological Processes,19,GO:1904018,positive regulation of vasculature development,19_GO:0032502 developmental process,-4.4,6.3,6,30244,185,207,8,3.9,1.3,358|3728|4846|5587|6237|10266|23411|23576,AQP1|JUP|NOS3|PRKD1|RRAS|RAMP2|SIRT1|DDAH1,-2.8,cluster_1_x_name
GO Biological Processes,19,GO:0045766,positive regulation of angiogenesis,19_GO:0032502 developmental process,-4.4,6.3,6,30244,185,207,8,3.9,1.3,358|3728|4846|5587|6237|10266|23411|23576,AQP1|JUP|NOS3|PRKD1|RRAS|RAMP2|SIRT1|DDAH1,-2.8,cluster_1_x_name
GO Biological Processes,19,GO:0072006,nephron development,19_GO:0032502 developmental process,-4.4,7.5,6.3,30244,136,207,7,3.4,1.3,59|358|596|4643|5156|7369|8842,ACTA2|AQP1|BCL2|MYO1E|PDGFRA|UMOD|PROM1,-2.8,cluster_1_x_name
GO Biological Processes,19,GO:0007160,cell-matrix adhesion,19_GO:0009987 cellular process,-4.4,7.5,6.3,30244,136,207,7,3.4,1.3,596|1605|2335|3672|7205|10979|54822,BCL2|DAG1|FN1|ITGA1|TRIP6|FERMT2|TRPM7,-2.8,cluster_1_x_name
WikiPathways,27,WP4630,Measles virus infection,,-4.4,7.5,6.3,30244,136,207,7,3.4,1.3,595|596|842|898|4792|5970|8503,CCND1|BCL2|CASP9|CCNE1|NFKBIA|RELA|PIK3R3,-2.8,cluster_1_x_name
Reactome Gene Sets,6,R-HSA-3700989,Transcriptional Regulation by TP53,,-4.4,4.4,5.5,30244,362,207,11,5.3,1.6,898|905|1026|4292|5571|5728|8178|51422|79109|94241|117584,CCNE1|CCNT2|CDKN1A|MLH1|PRKAG1|PTEN|ELL|PRKAG2|MAPKAP1|TP53INP1|RFFL,-2.8,cluster_1_x_name
Canonical Pathways,11,M125,PID IGF1 PATHWAY,,-4.4,20,8.6,30244,29,207,4,1.9,0.96,1398|5587|5747|8660,CRK|PRKD1|PTK2|IRS2,-2.8,cluster_1_x_name
GO Biological Processes,19,GO:0045995,regulation of embryonic development,19_GO:0032502 developmental process,-4.4,9.4,6.8,30244,93,207,6,2.9,1.2,1605|3643|23236|54617|55689|89780,DAG1|INSR|PLCB1|INO80|YEATS2|WNT3A,-2.8,cluster_1_x_name
WikiPathways,27,WP4879,Overlap between signal transduction pathways contributing to LMNA laminopathies,,-4.3,13,7.4,30244,57,207,5,2.4,1.1,1026|4088|6720|6934|7040,CDKN1A|SMAD3|SREBF1|TCF7L2|TGFB1,-2.8,cluster_1_x_name
GeDiPNet,37,GDP00891,Brain Neoplasms,,-4.3,13,7.4,30244,57,207,5,2.4,1.1,595|4292|5728|5970|23411,CCND1|MLH1|PTEN|RELA|SIRT1,-2.8,cluster_1_x_name
GO Biological Processes,19,GO:1903052,positive regulation of proteolysis involved in protein catabolic process,19_GO:0048518 positive regulation of biological process,-4.3,7.5,6.3,30244,137,207,7,3.4,1.3,857|1855|5728|5747|8554|84871|114881,CAV1|DVL1|PTEN|PTK2|PIAS1|AGBL4|OSBPL7,-2.8,cluster_1_x_name
KEGG Pathway,24,hsa04910,Insulin signaling pathway,,-4.3,7.5,6.3,30244,137,207,7,3.4,1.3,1398|3643|5571|6720|8503|8660|51422,CRK|INSR|PRKAG1|SREBF1|PIK3R3|IRS2|PRKAG2,-2.8,cluster_1_x_name
GO Biological Processes,19,GO:1903169,regulation of calcium ion transmembrane transport,19_GO:0051179 localization,-4.3,6.3,6,30244,187,207,8,3.9,1.3,596|857|2534|2669|5530|5581|5587|6546,BCL2|CAV1|FYN|GEM|PPP3CA|PRKCE|PRKD1|SLC8A1,-2.7,cluster_1_x_name
GO Biological Processes,19,GO:1901379,regulation of potassium ion transmembrane transport,19_GO:0051179 localization,-4.3,9.3,6.7,30244,94,207,6,2.9,1.2,857|1785|6833|10060|23327|27347,CAV1|DNM2|ABCC8|ABCC9|NEDD4L|STK39,-2.7,cluster_1_x_name
KEGG Pathway,24,hsa04915,Estrogen signaling pathway,,-4.3,7.4,6.3,30244,138,207,7,3.4,1.3,596|2099|4846|4988|5241|8503|23236,BCL2|ESR1|NOS3|OPRM1|PGR|PIK3R3|PLCB1,-2.7,cluster_1_x_name
GO Biological Processes,19,GO:1904950,negative regulation of establishment of protein localization,19_GO:0051179 localization,-4.3,7.4,6.3,30244,138,207,7,3.4,1.3,348|1445|3767|4988|5530|6720|6833,APOE|CSK|KCNJ11|OPRM1|PPP3CA|SREBF1|ABCC8,-2.7,cluster_1_x_name
GO Biological Processes,19,GO:0001101,response to acid chemical,19_GO:0050896 response to stimulus,-4.3,7.4,6.3,30244,138,207,7,3.4,1.3,596|1373|2534|5156|7369|9033|23376,BCL2|CPS1|FYN|PDGFRA|UMOD|PKD2L1|UFL1,-2.7,cluster_1_x_name
KEGG Pathway,24,hsa04923,Regulation of lipolysis in adipocytes,,-4.3,13,7.3,30244,58,207,5,2.4,1.1,154|3643|4881|8503|8660,ADRB2|INSR|NPR1|PIK3R3|IRS2,-2.7,cluster_1_x_name
GO Biological Processes,19,GO:2000649,regulation of sodium ion transmembrane transporter activity,19_GO:0051179 localization,-4.3,13,7.3,30244,58,207,5,2.4,1.1,1785|5581|5774|23327|27347,DNM2|PRKCE|PTPN3|NEDD4L|STK39,-2.7,cluster_1_x_name
GeDiPNet,37,GDP05071,Neuroblastoma,,-4.3,9.2,6.7,30244,95,207,6,2.9,1.2,2099|4292|6497|8289|57419|84181,ESR1|MLH1|SKI|ARID1A|SLC24A3|CHD6,-2.7,cluster_1_x_name
CORUM,33,CORUM:5177,"Polycystin-1 multiprotein complex (ACTN1, CDH1, SRC, JUP, VCL, CTNNB1, PXN, BCAR1, PKD1, PTK2, TLN1)",,-4.3,40,11,30244,11,207,3,1.4,0.83,3728|5747|7094,JUP|PTK2|TLN1,-2.7,cluster_1_x_name
Canonical Pathways,11,M140,PID RANBP2 PATHWAY,,-4.3,40,11,30244,11,207,3,1.4,0.83,7329|7514|8554,UBE2I|XPO1|PIAS1,-2.7,cluster_1_x_name
